ITEM CODE,DESCRIPTION
1155,CB Combo Tuna sandwich
1156,CB Combo Beef Panini
1157,CB Combo Croissant Cappuccino
1158,CB Doughnut Sugar glazed 52 g
1159,CB Doughnut Chocolate 60 g
1160,CB Muesli Bar Apricot 12 cm
1161,CB Shortbread Raspberry 6 cm
1162,CB Tea Cake Cherry
1163,CB Brownie Caramel 6 cm
1164,CB Cake Red Velvet
1165,CB Meal Oriental box 225 g
1166,CB MeaI Rigatoni Bologn. 295 g
1167,CB Meal Chckn Shawer&rice 270 g
1168,CB Meal Beef Shawer&rice 270 g
1169,CB Fatayer Cheese&Zattar 18 cm
1170,CB Fatayer Meat 12 cm
1171,CB Pizza Tuna 14 cm
1172,CB Panini Roast Beef 18 cm
1173,CB Baguette Tuna Salad 18 cm
1174,CB Ciabatta Turkey&Cheese 18 cm
1175,CB Bagel Cr Cheese Salami 10 cm
1176,CB Roll Salami&Cheese 12 cm
1177,CB Croissant Zattr&Chees 15 cm
1178,CB Wrap Chicken Shawerma 18 cm
1179,CB Roll Triple cheese 12 cm
1180,CB Panini Chicken Pesto 18 cm
1181,CB Croissant Turky&chees 15 cm
1182,CB Ciabatta Chckn Shawr 18 cm
1183,CB Roll Crumbed Chicken 18 cm
1184,CB Baguette Smoked Salmon 18 cm
1185,CB Wrap Breakfast 18 cm
1186,CB Wrap Tandoori Chicken 18 cm
1187,CB Brioche Almond
1188,CB Palmier Chocolate large
1189,CB Palmier Chocolate small
1190,CB Croissant Plain 70 g
1191,CB Croissant Chocolate 70 g
1192,CB -  SF Cookies Mini 400 g
1193,CB -  SF Cookies Sugar 450 g
1194,CB -  SF Cookies Petits Fours 400 g
1195,CB -  SF Easter Lollipop
60001,CB Cookie Oatmeal Raisin 10 cm
60002,CB Cookie Chocolate Chip 10 cm
60003,CB Cookie M&Ms 10 cm
60004,CB Muffin Dble chocolate 120g
60005,CB Muffin Blueberry 120 g
60006,CB Cookie Choc Walnut 10 cm
52380,CB -  Smoked Salmon&Cream Cheese
1336,Light Lunch Menu
1337,Snack Menu
1338,Combo Lunch Menu
1340,Gourmet Menu
1342,Delivery Charge
1346,CB Hot Dog Bread
1347,CB Hot Dog Cheese Sauce 500g
1348,CB Hot Dog Sauer Kraut 500g
1349,CB Hot Dog Fried Onions 500g
1350,CB Hot Dog Sausage
1351,CB Hot Dog
1352,CB Cheese Sauce Topping
1357,CB Rainbow salad bowl
10667,CB - Doughnut suger & custard 70gm
10668,CB - Ceasar salad bowl
10669,CB - Greek salad bowl
1374,CB Carrot &date cake
1375,CB Extra cheese
10710,CB Grilled kofta With Rice
10711,CB SeaFood Ravioli Dill
10712,CB Beef Lasagna With Pesto
10713,CB Gnochetti Alfredo Chicken Mushroom
10714,CB Barbeque Chicken Pizza
10715,CB Spinach Quiche
10716,CB Baba Ghanoush &Beef Kubbebah
10717,CB Beef Shawarma Wrap
1376,CB Fruit salad 12 oz
1377,CB German Potato Salad 750g
1378,CB Mini Pizza vegetables
1379,CB Mini Pizza chicken
1384,CB Roomy Cheese SANDWICHES
1385, CB White Cheese SANDWICHES
1386,CB Smoked turkey SANDWICHES
1387, CB Roomy Toast
1388, CB Turkey Toast
1389, CB White chesee Toast
1390,CB Extra Tomato
1391,CB Extra  Green Pepper
1392,CB Extra Cucumber
10778,CB Extra  Roomy
1393,CB Extra  White cheese
1394,CB Extra  Turkey
10787,hot dog
1395,orange (raw materia)
1396,Kiwi raw materia pcs
1397,Banana raw materia pcs
1398,strawberry raw materia pcs
1399,Kantalup raw materia pcs
1400,Lemon raw materia pcs
1417,Roll streatch
1418,Milk
1443,VP-Chicken Pane Sandwich
11793,VP-Shish Tawook Sandwich
1444,VP-Grilled Chicken Sandwich
1445,VP-Smoked Turkey Sandwich
1446,VP-Smoked Beef Sandwich
1447,VP-Tuna Sandwich
1448,VP-Cold cuts Sandwich
1449,VP- Mixed cheese sandwich
1450,VP-Meat shawerma wrap
1451,VP-Chicken Fahita wrap
1452,VP-Mexican hot dog
1453,VP-Burger
1454,VP-kofta sandwich
19303,Royal garden -Lunch box
19304,Royal garden -Sweet box
19305,Royal garden -Veggie Snack box
19306,Royal garden-Fruity Box
19308,Fakahany- Lunch box    
19309,Fakahany- Sweet Box 
19310,Fakahany- Veggie Snack box
19311,Fakahany- Fruity Box
19312,Fakahany-  Capiscum Slices
19313,Fakahany- Strawberry
19314,Fakahany- Choco Strawberry
19315,Fakahany-  Shish Fruit 
19316,Fakahany-  Snack box 
19317,Fakahany- Appel box 
